date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:30:27	533894/533894	---M--	200	added ('OK')	application/pdf	etag:%2282586-5d92624be7700%22	https://www.signatureglobal.in/pdf/sg-prime/notification/Prime%20Draw%20Result%20Ad_IE,FE_English.pdf	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/pdf/sg-prime/notification/Prime%20Draw%20Result%20Ad_IE,FE_English.pdf	(from https://www.signatureglobal.in/sg-prime.php)
13:30:27	652793/652793	---M--	200	added ('OK')	application/pdf	etag:%229f5f9-5d92624be7700%22	https://www.signatureglobal.in/pdf/sg-prime/notification/Prime_draw_hindi_JS.pdf	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/pdf/sg-prime/notification/Prime_draw_hindi_JS.pdf	(from https://www.signatureglobal.in/sg-prime.php)
13:30:27	579989/579989	---M--	200	added ('OK')	application/pdf	etag:%228d995-5d92624be7700%22	https://www.signatureglobal.in/pdf/sg-prime/notification/prime_draw_english_ad%20_8X9%20cm.pdf	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/pdf/sg-prime/notification/prime_draw_english_ad%20_8X9%20cm.pdf	(from https://www.signatureglobal.in/sg-prime.php)
13:30:27	1330808/1330808	---M--	200	added ('OK')	application/pdf	etag:%22144e78-5d92624be7700%22	https://www.signatureglobal.in/pdf/sg-prime/notification/SG%20Prime_Legal_16X25_JS+DJ%20Hindi_23.11.2019.pdf	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/pdf/sg-prime/notification/SG%20Prime_Legal_16X25_JS+DJ%20Hindi_23.11.2019.pdf	(from https://www.signatureglobal.in/sg-prime.php)
13:30:28	1493328/1493328	---M--	200	added ('OK')	application/pdf	etag:%2216c950-5d92624be7700%22	https://www.signatureglobal.in/pdf/sg-prime/notification/SG%20Prime_Legal_16X25_IE+FE%20(English)%2023.11.2019.pdf	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/pdf/sg-prime/notification/SG%20Prime_Legal_16X25_IE+FE%20(English)%2023.11.2019.pdf	(from https://www.signatureglobal.in/sg-prime.php)
13:30:28	1330808/1330808	---M--	200	added ('OK')	application/pdf	etag:%22144e78-5d92624fb8000%22	https://www.signatureglobal.in/pdf/sg-prime/notification/SG%20Prime_Legal_16X25_Hindi_15.11.2019.pdf	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/pdf/sg-prime/notification/SG%20Prime_Legal_16X25_Hindi_15.11.2019.pdf	(from https://www.signatureglobal.in/sg-prime.php)
13:30:28	8894/8894	---M--	200	added ('OK')	application/javascript	etag:%2222be-5f0f27a64cc17%22	https://www.signatureglobal.in/js/lazy.js	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/js/lazy.js	(from https://www.signatureglobal.in/sg-prime.php)
13:30:29	22205/22205	---M--	200	added ('OK')	image/png	etag:%2256bd-5e395ee3ed141%22	https://www.signatureglobal.in/images/logo/Orchard-Avenue-2.png	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/logo/Orchard-Avenue-2.png	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:29	246768/246768	---M--	200	added ('OK')	image/jpeg	etag:%223c3f0-5d938b1cdbe00%22	https://www.signatureglobal.in/images/projects/orchard-avenue2/Location-Map.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/projects/orchard-avenue2/Location-Map.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:29	105658/105658	---M--	200	added ('OK')	image/jpeg	etag:%2219cba-5d938b77753c0%22	https://www.signatureglobal.in/images/projects/orchard-avenue2/s1.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/projects/orchard-avenue2/s1.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:29	97528/97528	---M--	200	added ('OK')	image/jpeg	etag:%2217cf8-5d938b7869600%22	https://www.signatureglobal.in/images/projects/orchard-avenue2/s2.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/projects/orchard-avenue2/s2.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:30	1493328/1493328	---M--	200	added ('OK')	application/pdf	etag:%2216c950-5d92624be7700%22	https://www.signatureglobal.in/pdf/sg-prime/notification/SG%20Prime_Legal_16X25_(English)%2015.11.2019.pdf	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/pdf/sg-prime/notification/SG%20Prime_Legal_16X25_(English)%2015.11.2019.pdf	(from https://www.signatureglobal.in/sg-prime.php)
13:30:30	74908/74908	---M--	200	added ('OK')	image/jpeg	etag:%221249c-5d938b7869600%22	https://www.signatureglobal.in/images/projects/orchard-avenue2/s3.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/projects/orchard-avenue2/s3.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:30	98105/98105	---M--	200	added ('OK')	image/jpeg	etag:%2217f39-5d938b795d840%22	https://www.signatureglobal.in/images/projects/orchard-avenue2/s4.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/projects/orchard-avenue2/s4.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:30	5688449/5688449	---M--	200	added ('OK')	application/pdf	etag:%2256cc81-5d93774a5b9c0%22	https://www.signatureglobal.in/pdf/orchard-a-2/MultipagerOrchardAvenue2.pdf	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/pdf/orchard-a-2/MultipagerOrchardAvenue2.pdf	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:30	261839/261839	---M--	200	added ('OK')	image/jpeg	etag:%223fecf-5d938ad649780%22	https://www.signatureglobal.in/images/projects/orchard-avenue2/siteplan/Site-Plan.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/projects/orchard-avenue2/siteplan/Site-Plan.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:30	448874/448874	---M--	200	added ('OK')	image/jpeg	etag:%226d96a-5d8eaa4a86700%22	https://www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/1.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/1.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:30	361387/361387	---M--	200	added ('OK')	image/jpeg	etag:%22583ab-5d8eaa503f480%22	https://www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/2.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/2.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:31	460204/460204	---M--	200	added ('OK')	image/jpeg	etag:%22705ac-5d8eaa55f8200%22	https://www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/3.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/3.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:31	417828/417828	---M--	200	added ('OK')	image/jpeg	etag:%2266024-5d8eaa6352180%22	https://www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/4.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/4.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:31	301704/301704	---M--	200	added ('OK')	image/jpeg	etag:%2249a88-5d8eaa6af3380%22	https://www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/5.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/5.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:31	450506/450506	---M--	200	added ('OK')	image/jpeg	etag:%226dfca-5d8eaa7294580%22	https://www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/6.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/6.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:32	506432/506432	---M--	200	added ('OK')	image/jpeg	etag:%227ba40-5d8eaa7a35780%22	https://www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/7.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/7.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:32	493698/493698	---M--	200	added ('OK')	image/jpeg	etag:%2278882-5d8eaa7fee500%22	https://www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/8.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/8.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:32	474569/474569	---M--	200	added ('OK')	image/jpeg	etag:%2273dc9-5d8eaa85a7280%22	https://www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/9.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/9.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
